refcode,total_charge,multiplicity,splitting,HOMO_eV,LUMO_eV,gap_eV,dipole_moment_Debye
BEJDUS,0,1,16.26,-4.2155,-2.1169,2.0986,7.31829
BEKGAB,0,4,-28.97,-5.0245,-2.0559,2.9686,7.93482
BEKGOP,0,4,-19.32,-4.5892,-1.659,2.9302,7.05815
BEKPUE,0,1,58.55,-5.0873,-1.8381,3.2492,9.3486
BEKZIA,0,6,-29.49,-4.8585,-2.9674,1.8911,4.8896
BEMJIN,0,4,-18.75,-4.9408,-2.4683,2.4725,11.87256
BEMNAK,0,1,37.6,-4.7453,-1.4043,3.341,1e-05
BEMWUM,2,6,-54.5,-14.3905,-9.1075,5.283,4e-05
BEPRET,0,5,-54.04,-5.2515,-3.1734,2.0781,5.37277
BEPTIA,0,5,-41.85,-5.3722,-3.3119,2.0603,7.64827
BEQYOM,0,4,-32.51,-5.2108,-2.2338,2.977,6.56272
BESBEI,0,6,-36.92,-5.4136,-4.0875,1.3261,7.61432
BETQAT,1,1,95.46,-7.3562,-2.9421,4.4141,0.377
BEXJEW,-1,2,35.75,-1.4409,-0.2908,1.1501,0.23905
BEXJUK,0,6,-44.4,-3.9187,-1.4057,2.513,5.60307
BEXKOE,0,1,23.01,-4.9906,-2.2746,2.716,0.0
BEXLIC,0,6,-36.94,-3.7455,-1.3901,2.3554,0.08954
BEXZIN,0,1,43.67,-5.9773,-3.3678,2.6095,0.0
BEZLOH,0,1,117.68,-5.3407,-1.9579,3.3828,5.37031
BGUCRM,0,4,-37.03,-4.1751,-0.616,3.5591,1.29162
BIBDOG,-1,1,29.36,-1.4384,0.9081,2.3465,6.78019
BIBDUM,-1,2,27.58,-1.7015,-0.1843,1.5172,6.61006
BIBFEY,-1,2,25.59,-1.7204,-0.2335,1.4869,7.92665
BIHKAE,0,3,-36.97,-5.4455,-2.6512,2.7943,0.0
BIJJAG,0,5,-58.32,-4.7357,-2.1899,2.5458,2.38231
BIKDAA,0,6,-65.8,-4.9993,-1.9341,3.0652,8.50007
BILQUI,1,1,92.07,-7.5183,-4.3368,3.1815,5.99275
BILVUQ,0,4,-43.42,-5.2559,-2.2633,2.9926,0.99128
BILWAX,0,4,-42.64,-5.1611,-2.1476,3.0135,1.23983
BINCOR,0,2,42.88,-5.8136,-3.2268,2.5868,6.80504
BINJOZ,-2,4,-45.1,2.5816,6.3127,3.7311,0.23264
BIPJER,-2,6,-52.01,1.6036,3.5307,1.9271,1.39855
BIPMAO,0,1,89.3,-4.2544,-1.7671,2.4873,5.16905
BISHIX,0,1,118.42,-4.9759,-0.4557,4.5202,4.43787
BISXIK,0,1,90.29,-5.1831,-2.4329,2.7502,10.32362
BITTAC,0,2,37.16,-4.6781,-1.8443,2.8338,0.64746
BIVTOP,0,1,140.39,-5.221,-1.3974,3.8236,11.01124
BIWPED,0,4,-27.08,-4.4643,-1.9072,2.5571,7.17721
BIXWOX,0,2,55.08,-3.6505,-1.0069,2.6436,2.62833
BIZQOQ,0,1,47.43,-6.0167,-3.6124,2.4043,10.48758
BODQES,-1,1,102.23,-3.1748,1.509,4.6838,14.59091
BOFGOS,0,1,99.21,-4.957,-1.4359,3.5211,4.1166
BOHGAG,3,1,89.36,-17.5767,-12.9486,4.6281,2.9635
BOJPOI,0,1,78.34,-5.8962,-1.7951,4.1011,4.50631
BOKZEH,0,3,-24.73,-5.3345,-3.3188,2.0157,10.31221
BOLVAA,0,1,63.91,-4.2927,-0.2077,4.085,0.54312
BOMVEF,0,1,39.51,-5.2258,-1.9243,3.3015,4.1271
BONGEQ,0,1,106.81,-5.0671,-2.173,2.8941,6.94184
BOQPIH,2,4,-14.51,-13.2096,-9.7975,3.4121,1e-05
BORFET,0,1,126.89,-5.0178,-1.7114,3.3064,8.07332
BOTHEX,0,4,-22.11,-6.0861,-1.7758,4.3103,16.65385
BOTQEH,2,1,63.89,-13.5713,-10.1116,3.4597,8.68612
BOWYUJ,-1,6,-48.72,-3.1489,-0.3019,2.847,0.0
BOXMIK,2,2,18.41,-11.0612,-9.5992,1.462,0.0
BOZJEH,2,3,-42.72,-13.5969,-10.0165,3.5804,5.06197
BRURMN,0,6,-74.27,-4.3738,-0.7047,3.6691,20.24149
BUBHEM,0,6,-65.29,-4.4088,-0.6448,3.764,8.00886
BUBLEQ,0,3,-32.95,-5.7736,-3.023,2.7506,7.01172
BUCRAS,1,6,-58.8,-7.3989,-5.7601,1.6388,9.38329
BUDHEN,0,2,40.86,-5.3698,-3.555,1.8148,7.26931
BUJPIH,0,5,-55.99,-4.2618,-2.4032,1.8586,5.81755
BUKFAR,0,4,-15.52,-4.4487,-2.3252,2.1235,14.78029
BUQCUL,1,2,51.94,-8.3437,-5.4877,2.856,2.40702
BURMIL,0,1,166.92,-5.5935,-0.5483,5.0452,5.59162
BUSMOR,0,6,-59.15,-3.861,-0.153,3.708,2.60826
BUTDAV,1,4,-49.15,-9.9787,-5.6467,4.332,1.25906
BUXJEJ,2,3,-31.76,-12.0938,-9.3122,2.7816,0.0
BUXYIE,0,5,-38.67,-4.821,-3.3214,1.4996,10.91482
CADHOE,1,1,80.76,-8.9755,-5.4518,3.5237,5.97241
CADYEM,-1,1,159.07,-3.7161,1.6354,5.3515,9.98174
CADYUC,0,4,-27.43,-4.9102,-2.5821,2.3281,9.07644
CADZAJ,0,4,-26.05,-4.9655,-2.8587,2.1068,11.47478
CAFTIM,0,1,154.98,-4.9633,-0.2302,4.7331,0.72833
CAFYAK,0,3,-39.82,-4.2471,-1.2912,2.9559,4.33808
CAFZAM,0,5,-48.87,-3.6059,-1.3625,2.2434,0.16756
CAGCIW,-2,5,-52.51,3.1541,4.8023,1.6482,3e-05
CAGSOV,1,3,-34.48,-8.0174,-4.9428,3.0746,7.01386
CAHCOP,0,1,52.26,-4.3155,-1.2706,3.0449,2.54065
CAHGAW,0,6,-64.34,-4.6827,-2.9536,1.7291,8.37731
CAHQAD,0,4,-44.31,-5.4056,-2.0002,3.4054,3.73783
CAHQEH,0,3,-37.36,-4.3226,-1.2,3.1226,1.5647
CAJFAV,1,5,-33.97,-7.4381,-5.2978,2.1403,7.63609
CAJFEZ,2,2,45.99,-12.176,-9.7902,2.3858,5.45615
CAMRAM,-2,1,12.84,1.748,3.1905,1.4425,0.0
CAPZAW,-1,6,-18.39,-2.6746,-0.1561,2.5185,9.91074
CASLOX,0,3,-32.46,-4.9963,-2.3481,2.6482,1.66731
CASXAY,-2,4,-24.44,1.5561,5.2743,3.7182,0.80842
CATGEJ,0,1,107.23,-5.0302,-1.3311,3.6991,2.66122
CAWPOG,2,1,28.49,-10.1588,-7.5289,2.6299,2.60459
CAXVAZ,1,5,-54.55,-8.3175,-5.7009,2.6166,8.99478
CAZVAA,-1,4,-21.79,-2.2685,0.6774,2.9459,12.75775
CAZZUY,0,6,-52.01,-3.978,-1.3109,2.6671,7.86903
CEBZIS,-2,1,26.31,2.6551,5.1065,2.4514,0.0
CECBOB,0,1,78.94,-4.8536,-1.9464,2.9072,5.31389
CECKEB,-2,1,19.43,1.9401,4.1257,2.1856,0.0
CEDXIT,2,6,-57.22,-10.988,-6.9631,4.0249,1.34839
CEDYAM,2,3,-31.02,-11.6074,-8.6491,2.9583,0.56897
CEHHON,2,1,134.45,-18.768,-12.756,6.012,0.0
CEHYAP01,1,1,89.57,-10.8067,-6.4707,4.336,0.00065
CEHZOF,0,1,41.15,-5.2709,-2.9669,2.304,9.0351
CEKJIO,0,1,37.67,-4.9457,-2.9518,1.9939,10.44553
CEMSIW,-2,6,-58.11,3.1846,6.5422,3.3576,0.42323
CEMWIC,0,5,-47.89,-4.3413,-1.872,2.4693,6.79192
CEPFEI,0,3,-22.44,-5.5727,-3.4595,2.1132,4.32129
CEQPIZ,0,2,51.29,-5.1236,-2.067,3.0566,4.69476
CEQPOF,0,2,52.56,-5.0529,-2.2025,2.8504,5.17297
CEQSEW,0,1,26.16,-4.575,-2.1271,2.4479,1.93258
CESGOW,1,2,72.64,-7.9204,-5.9593,1.9611,4.61744
CETFAI,2,5,-21.58,-12.1151,-9.3171,2.798,0.0
CETGOX,2,6,-46.7,-12.1047,-8.3432,3.7615,1.29043
CETJIU,2,4,-10.3,-12.5344,-9.9404,2.594,0.71105
CETXAA,0,2,34.68,-5.5761,-3.5951,1.981,11.56077
CEXJEW,1,5,-47.95,-7.7563,-5.2081,2.5482,7.48926
CEXLUN,-1,6,-44.79,-3.3319,0.226,3.5579,11.35677
CEZYOW,0,6,-65.98,-4.6616,-0.6997,3.9619,6.51914
CEZYUC,0,6,-62.12,-4.723,-1.1282,3.5948,8.91184
CGLYMN,0,6,-60.13,-4.8976,-0.5114,4.3862,10.07036
CIDKEI,0,6,-47.36,-3.7646,-2.862,0.9026,18.13154
CIDVOA,0,5,-41.57,-4.6637,-3.0109,1.6528,0.26473
CIGBUP,2,3,-28.08,-12.5212,-9.2567,3.2645,0.0
CIHJEJ,0,4,-37.73,-4.4333,-1.4912,2.9421,9.73519
CIHWAR,1,2,33.75,-8.5693,-5.8242,2.7451,1.9482
CIJYID,2,3,-25.95,-11.6833,-9.2084,2.4749,0.0
CILGIO,0,5,-61.85,-4.1896,-1.3317,2.8579,3.87702
CIMBUV,1,1,120.45,-9.6215,-5.0008,4.6207,7.69535
CIMGOU,1,1,120.05,-9.8233,-5.2488,4.5745,7.51896
CIMHEL,1,1,146.51,-8.8531,-4.2187,4.6344,5.15262
CIRDEN,0,6,-77.13,-4.4971,-0.9218,3.5753,9.39568
CIXXAJ,0,3,-25.2,-4.0339,-1.5406,2.4933,6.19825
CIXXEN,0,3,-25.59,-3.9683,-1.4597,2.5086,5.634
CIZLAY,0,1,67.24,-4.8158,-2.34,2.4758,10.55919
CLSINI10,0,1,29.52,-4.7285,-1.7688,2.9597,2.3437
CMNMVK,0,1,107.44,-5.7499,-1.6821,4.0678,5.67582
CMPHSC,0,1,137.33,-5.1968,-1.6383,3.5585,9.34534
CMPYCR,0,1,115.95,-4.885,-1.4076,3.4774,9.00654
CNITSC,2,1,25.04,-12.976,-10.1951,2.7809,9.26744
COBGAB,1,3,-40.18,-8.8368,-5.365,3.4718,8.95854
CODLEO,0,4,-22.81,-5.7416,-3.2755,2.4661,0.29103
CODLIS,0,6,-57.1,-5.5944,-2.1686,3.4258,0.31703
CODWAU,0,1,52.84,-4.1609,-1.0832,3.0777,1.78824
COETDS10,2,4,-20.9,-14.0329,-10.5988,3.4341,1.1751
COFMOC,2,3,-50.58,-14.6984,-10.2459,4.4525,0.46913
COFRIZ,0,4,-20.26,-4.6761,-1.5397,3.1364,8.592
COIMAC10,0,4,-35.54,-4.902,-1.3168,3.5852,10.69103
COJGUG,0,5,-33.43,-4.5582,-2.3365,2.2217,8.78132
COJHAN,-1,5,-30.43,-2.0352,0.2489,2.2841,5.80409
COKLOD,2,4,-34.0,-12.2506,-8.4622,3.7884,0.65954
COLNEW,0,6,-49.21,-3.9798,-1.4065,2.5733,7.36317
COPCAM,0,5,-53.69,-4.2877,-1.6551,2.6326,7.6605
COPKAU,0,1,123.59,-5.5161,-2.0387,3.4774,5.71769
CORHUN,0,3,-19.72,-4.807,-2.6847,2.1223,3.48254
CORSIO,0,5,-55.51,-4.1765,-2.3695,1.807,10.50907
CORSUA,0,5,-56.0,-3.9673,-2.2602,1.7071,13.57135
COSCIZ,2,1,89.93,-12.7564,-10.1823,2.5741,3.56317
COSGEW,0,1,118.66,-5.1388,-1.0849,4.0539,6.06432
COYLEH10,0,6,-54.28,-4.61,-2.6248,1.9852,17.84616
CPMSNI10,1,3,-36.8,-8.3831,-5.0335,3.3496,10.29852
CPTCFE,0,1,79.81,-5.2474,-1.4258,3.8216,5.27676
CSCNCC01,-3,1,152.64,4.0746,10.0289,5.9543,1e-05
CTHUCO10,0,4,-15.94,-4.2368,-1.5181,2.7187,0.0
CUBBOQ,0,5,-59.63,-3.953,-0.7705,3.1825,5.61218
CUCQIB,0,1,93.57,-6.3121,-3.3217,2.9904,3.66793
CUCWEE,0,5,-43.04,-4.6866,-3.5027,1.1839,9.73892
CUDKAN,2,3,-34.1,-12.3494,-8.8902,3.4592,0.94594
CUHGUH,-1,2,52.81,-2.6262,-0.2812,2.345,0.95112
CUHGUK,0,3,-25.66,-5.299,-3.0994,2.1996,10.37054
CUJNAY,0,3,-32.85,-4.9306,-1.6242,3.3064,3.74439
CUJSAD,-1,5,-71.1,0.2106,2.35,2.1394,2e-05
CUPCEV,2,4,-20.91,-11.6132,-9.1093,2.5039,10.55051
CUQSEN,0,5,-34.86,-4.5098,-1.9969,2.5129,11.50041
CURVOB,0,4,-17.56,-5.8492,-3.1305,2.7187,0.5812
CUVGOP01,-2,3,-21.7,1.4632,3.3706,1.9074,4.02249
CUVZIE,-1,6,-53.95,-1.3154,1.7899,3.1053,12.4049
CUWSIW,0,3,-38.16,-4.0365,-1.3091,2.7274,6.47775
CUXREV,2,1,54.63,-10.4849,-7.7574,2.7275,1.05807
CUXXOL,0,1,41.7,-5.0814,-1.7472,3.3342,8.71002
CUZBUU,0,4,-25.54,-5.324,-2.1458,3.1782,7.67595
CUZWUR,0,4,-16.61,-3.6505,-2.1808,1.4697,5.18325
DABHUK,-1,1,69.31,-2.32,0.5957,2.9157,8.61755
DABPOM,0,6,-21.96,-5.1718,-3.5747,1.5971,6.94177
DABQED,0,6,-33.37,-5.4423,-3.0601,2.3822,3.14819
DABSOP,0,5,-43.33,-4.3685,-2.1038,2.2647,4.07212
DADJEX,0,4,-8.04,-5.1724,-2.8294,2.343,6.66236
DAGFAT,0,3,-36.25,-5.0258,-3.1159,1.9099,14.90746
DAJBAS,0,5,-56.18,-4.5875,-1.8209,2.7666,4.32782
DAJVIT,0,3,-35.86,-4.3647,-1.1483,3.2164,6.94431
DAKNEI,0,1,62.48,-4.3989,-1.0831,3.3158,5.01369
DALPEO,0,5,-30.53,-3.9362,-1.6077,2.3285,5.24065
DAMTES,1,4,-15.12,-7.9956,-5.0477,2.9479,8.06716
DAMYUL,1,4,-18.0,-8.0173,-5.4362,2.5811,10.70357
DAPQOD,0,4,-26.15,-5.2237,-3.4567,1.767,11.30899
DAPSCR10,3,4,-25.47,-15.7951,-13.0784,2.7167,2.06598
DAQXEY,0,6,-25.87,-5.9864,-3.927,2.0594,1.98866
DAXPEY,0,1,111.64,-5.7286,-1.2385,4.4901,6.65056
DAXPOI,0,1,108.64,-5.217,-2.4148,2.8022,10.7974
DBENCR11,0,1,91.11,-3.7544,-0.4709,3.2835,0.0
DECKAZ,0,5,-47.23,-4.916,-2.5481,2.3679,10.75762
DECKED,0,5,-45.19,-5.0334,-2.6697,2.3637,10.88155
DECKUT,0,5,-56.87,-4.6105,-2.5058,2.1047,14.48916
DECLAA,0,5,-54.93,-4.7244,-2.5825,2.1419,14.83085
DECLEE,0,5,-57.59,-4.6222,-2.5059,2.1163,14.58784
DEDREK,1,1,28.1,-8.5968,-6.1785,2.4183,7.58043
DEDROU,0,3,-17.3,-5.0106,-3.1943,1.8163,9.60355
DEFPEJ,0,3,-38.7,-4.6755,-2.1926,2.4829,13.33493
DEGJEF,0,4,-8.84,-4.4034,-2.0963,2.3071,19.57451
DEKFAD,0,1,104.89,-5.886,-2.5572,3.3288,6.51451
DEKFEH,0,1,92.81,-5.2914,-1.9195,3.3719,6.41184
DELPOZ01,2,1,60.72,-12.0679,-10.0528,2.0151,0.17063
DENYAZ,2,1,42.77,-10.6788,-8.1203,2.5585,8.84719
DEPLES,2,4,-24.39,-11.8124,-8.4191,3.3933,2.58463
DEQNIX,0,1,47.61,-4.8691,-1.0522,3.8169,8.13966
DESSAW,1,5,-30.8,-7.4647,-4.8183,2.6464,5.17571
DEXFAN,0,2,31.04,-4.192,-1.3026,2.8894,6.17981
DEXFOB,0,5,-38.06,-4.2216,-2.4596,1.762,9.48801
DEXZAK,0,6,-22.6,-4.6075,-2.6156,1.9919,3.66109
DIBHIF,0,1,67.75,-6.179,-2.1679,4.0111,2.6847
DIDMAG,-1,3,-34.18,-1.8979,0.5461,2.444,13.02942
DIDMEK,-1,3,-30.22,-2.0255,0.2861,2.3116,10.62536
DIFKUY,0,4,-13.4,-5.0341,-2.6873,2.3468,13.67861
DIGJEJ,0,1,38.79,-4.8208,-1.2765,3.5443,10.15115
DIGNUD,0,2,20.74,-5.2315,-2.7517,2.4798,15.42047
DIHZEC,0,6,-11.71,-6.0854,-3.9391,2.1463,0.8253
DIJJIR,0,4,-41.16,-5.1124,-1.8707,3.2417,5.078
DIJPOE,1,1,55.33,-8.2326,-4.1466,4.086,3.39964
DIJQAR,0,1,36.46,-4.7024,-1.3219,3.3805,9.42371
DIMDAH,0,4,-31.46,-4.205,-1.4781,2.7269,6.63705
DIMPEU11,0,6,-44.02,-5.0321,-1.2385,3.7936,0.0
DIRPOJ,0,1,26.25,-4.8611,-2.6682,2.1929,16.2724
DITLAW,0,4,-18.26,-5.0725,-2.1775,2.895,10.18525
DITQEE,0,6,-57.16,-4.8594,-3.6602,1.1992,19.2477
DIXXEP,0,5,-65.4,-3.7938,-0.9085,2.8853,11.06305
DIYVAL,0,4,-23.12,-4.821,-0.8267,3.9943,8.39789
DODWUQ,0,5,-25.68,-3.9732,-2.4084,1.5648,13.00721
DOFVIG,1,4,-44.84,-10.8126,-7.0816,3.731,2.32362
DOFZAA,0,1,90.32,-4.8725,-1.2114,3.6611,4.74551
DOGHEM,1,1,44.54,-8.6196,-5.6153,3.0043,2.22484
DOGHOY,1,6,-41.92,-7.2993,-6.2417,1.0576,9.39551
DOHXED,1,3,-19.34,-8.4844,-6.0632,2.4212,7.75761
DOJCOX,-1,5,-32.12,-0.2864,2.2667,2.5531,4.91959
DOKQOJ,0,1,33.35,-4.7034,-1.2002,3.5032,0.0
DOPROS,0,1,35.48,-4.9438,-1.8404,3.1034,8.67502
DOQRAC,2,1,5.09,-11.558,-7.6682,3.8898,4.69265
DOQWUC,0,5,-58.55,-4.3002,-1.7403,2.5599,3.92939
DOQXUD,0,5,-56.41,-3.9136,-1.652,2.2616,1.95686
DORPIJ,-1,5,-15.94,-1.0653,0.8445,1.9098,5.79421
DORZEP,-1,4,-36.59,-1.7521,2.4065,4.1586,14.52935
DOVKUV,0,5,-46.38,-5.0054,-2.5765,2.4289,6.43799
DOVMOQ,0,2,46.9,-5.3195,-2.9422,2.3773,4.84074
DOVTUD,0,3,-41.31,-4.769,-1.9341,2.8349,15.36347
DOVYES,1,1,65.05,-8.985,-5.7525,3.2325,2.55619
DOXXOE,0,6,-16.37,-4.4819,-2.4868,1.9951,10.59368
DOZQIV,0,1,41.64,-5.1507,-2.4255,2.7252,4.50309
DPBPCR,1,4,-48.39,-7.8352,-5.7478,2.0874,10.21539
DUBPIA,0,5,-63.47,-4.0101,-1.3561,2.654,0.58474
DUCGUD,1,1,98.75,-8.5098,-5.286,3.2238,5.62706
DUCQIC,0,4,-21.12,-4.8232,-2.8738,1.9494,7.70748
DUDTUS,2,1,80.36,-11.2208,-7.8194,3.4014,7.80179
DUFLEW,0,5,-30.85,-4.5905,-2.7586,1.8319,5.85746
DUJCIU,-3,4,-26.99,3.3852,5.423,2.0378,0.94974
DULQAD,2,4,-39.7,-12.7199,-9.2896,3.4303,5.40065
DUMCUJ,0,1,18.38,-4.3237,-2.1208,2.2029,1.48726
DUPMUX,0,3,-28.17,-5.0466,-2.7867,2.2599,5.38589
DUQQAJ,0,6,-62.61,-4.5683,-3.3156,1.2527,5.45565
