refcode,total_charge,multiplicity,HOMO_Ha,LUMO_Ha,gap_Ha,dipole_moment_Debye
AHUXUY,0,1,-0.16994,-0.07343,0.09651,2.0214
AHUYAF,0,1,-0.18031,-0.08378,0.09653,3.4039
AJAZIV,0,1,-0.17146,-0.04583,0.12563,4.7187
AJETUE,1,1,-0.33269,-0.22415,0.10854,10.9415
AJIDIH,0,1,-0.19328,-0.07566,0.11762,6.9758
AJIDUU,0,1,-0.1782,-0.08675,0.09145,0.0001
AJIXOI,0,1,-0.19387,-0.07874,0.11513,6.5441
AJIXUO,0,1,-0.19175,-0.07541,0.11634,7.1571
AJIYEY,0,1,-0.18394,-0.10006,0.08388,4.5631
AJIYIC,0,1,-0.17348,-0.08046,0.09302,6.9397
AJODEI,0,1,-0.14718,-0.13631,0.01087,0.3801
AJOKIV,0,1,-0.17121,-0.06493,0.10628,12.7096
AJOKOB,0,1,-0.15766,-0.04849,0.10917,5.2467
AJOKUH,0,1,-0.15496,-0.04904,0.10592,6.7132
AJOXAZ,0,1,-0.18237,-0.08946,0.09291,5.9967
AJOXED,0,1,-0.18057,-0.0822,0.09837,4.5527
AJOXIH,0,1,-0.18206,-0.08171,0.10035,4.9589
AJOXON,0,1,-0.18237,-0.09887,0.0835,4.442
AJUVUY,0,1,-0.18957,-0.05814,0.13143,3.9701
AJUWAF,0,1,-0.1967,-0.06486,0.13184,5.5979
AJUWEJ,0,1,-0.18673,-0.05315,0.13358,4.408
AKEGUU,0,1,-0.17305,-0.08088,0.09217,3.3344
AKEHAB,0,1,-0.18583,-0.08167,0.10416,6.5573
AKEHEF,0,1,-0.18546,-0.06904,0.11642,7.0644
AKIHOT,0,1,-0.16611,-0.05224,0.11387,3.9069
AKOTUQ,0,1,-0.17609,-0.09132,0.08477,0.5695
ALAJIH,0,1,-0.19886,-0.09589,0.10297,6.6908
ALAJON,0,1,-0.18682,-0.08715,0.09967,2.4574
ALAMEH,0,1,-0.18387,-0.07284,0.11103,4.9505
ALAMIL,0,1,-0.17614,-0.06748,0.10866,6.343
ALANUX,0,1,-0.18612,-0.10022,0.0859,9.3623
ALAPAF,0,1,-0.19002,-0.10189,0.08813,10.001
ALIKAI,0,1,-0.16376,-0.12467,0.03909,4.4992
ALODIQ,0,1,-0.20749,-0.09956,0.10793,10.2453
ALOJOC,0,1,-0.16843,-0.09629,0.07214,0.6963
ALOJUI,0,1,-0.15087,-0.08916,0.06171,3.6687
ALOKOB,0,1,-0.17616,-0.08063,0.09553,0.0002
ALUTAD,0,1,-0.17845,-0.07071,0.10774,2.1775
ALUTEH,0,1,-0.1762,-0.07043,0.10577,2.6206
AMASAJ,0,1,-0.18059,-0.08591,0.09468,1.601
AMASEN,0,1,-0.1809,-0.08828,0.09262,1.3286
AMEBEB,0,1,-0.20336,-0.06378,0.13958,9.0263
AMEBOL,0,1,-0.20326,-0.05017,0.15309,10.3709
AMETUI,1,1,-0.3284,-0.13888,0.18952,1.1573
ANEZOK,0,1,-0.15093,-0.06518,0.08575,3.1968
ANOREB,0,1,-0.20283,-0.08748,0.11535,10.9439
APACAW,0,1,-0.1312,-0.04279,0.08841,3.7124
APOFIW,0,1,-0.19959,-0.125,0.07459,11.9248
APOFOC,0,1,-0.20206,-0.1252,0.07686,11.494
APUGIC,0,1,-0.20205,-0.07742,0.12463,9.2026
APUTOW,1,1,-0.32409,-0.22942,0.09467,7.5259
APUYIV,0,1,-0.20407,-0.0909,0.11317,4.6412
AQAJIN,0,1,-0.21226,-0.08995,0.12231,9.8888
AQEGOS,0,1,-0.19478,-0.08705,0.10773,3.8527
AQIDIP,0,1,-0.18696,-0.1107,0.07626,11.6184
AQIYEF,0,1,-0.20405,-0.04024,0.16381,9.511
AQOYAI,0,1,-0.16758,-0.09307,0.07451,4.2618
AQULIH,0,1,-0.19427,-0.11497,0.0793,17.7104
AQULON,0,1,-0.19252,-0.11368,0.07884,17.7192
AQULUT,0,1,-0.18148,-0.11164,0.06984,15.7017
AQUMII,0,1,-0.19235,-0.11444,0.07791,16.7858
ARAFUW,0,1,-0.19265,-0.09339,0.09926,5.8317
AREHIO,0,1,-0.20686,-0.12719,0.07967,11.1165
AREHOU,0,1,-0.18621,-0.13316,0.05305,17.5997
AROPAZ,0,1,-0.20734,-0.11933,0.08801,0.0161
AROQII,1,1,-0.28662,-0.20947,0.07715,7.7295
AROSIK,0,1,-0.21541,-0.12699,0.08842,2.0823
ARUGIE,0,1,-0.21308,-0.10452,0.10856,8.0096
ARUROV,1,1,-0.27088,-0.16781,0.10307,2.9128
ASABIH,0,1,-0.19803,-0.09701,0.10102,8.4826
ASAFOQ,1,1,-0.30953,-0.17918,0.13035,8.1287
ASAMOW,0,1,-0.18372,-0.12895,0.05477,11.2925
ASEGUB,0,1,-0.18212,-0.07873,0.10339,2.693
ASEHEM,0,1,-0.20236,-0.08487,0.11749,3.4324
ASISAX,0,1,-0.18583,-0.12216,0.06367,0.0025
ASOZEP,0,1,-0.20106,-0.08026,0.1208,6.7286
ASUTAL,1,1,-0.28733,-0.1863,0.10103,7.7266
ATAGUZ,0,1,-0.22448,-0.09177,0.13271,14.8152
ATAKOX,0,1,-0.19768,-0.08624,0.11144,6.4401
ATALAK,0,1,-0.20532,-0.07441,0.13091,5.6477
ATAQOD,1,1,-0.2598,-0.16387,0.09593,2.6907
ATAQUJ,1,1,-0.25232,-0.16467,0.08765,3.7129
ATEWUT,0,1,-0.17019,-0.07572,0.09447,3.3679
ATODEU,0,1,-0.18868,-0.11052,0.07816,13.3465
AVEREZ,0,1,-0.18996,-0.11183,0.07813,4.8023
AVIQOM,0,1,-0.18452,-0.10309,0.08143,10.3127
AVIQUS,0,1,-0.17905,-0.09461,0.08444,10.23
AVUBEZ,0,1,-0.17343,-0.08695,0.08648,0.0016
AWIQEC,0,1,-0.18221,-0.08611,0.0961,0.0305
AWOMOP,0,1,-0.17957,-0.08013,0.09944,0.5175
AWOSOV,1,1,-0.3179,-0.14382,0.17408,1.4572
AWOVAL,0,1,-0.21392,-0.1441,0.06982,3.4798
AWOVEP,1,1,-0.35009,-0.25459,0.0955,6.801
AWOWAM,1,1,-0.33069,-0.22607,0.10462,7.9956
AXERUR,0,1,-0.17412,-0.06244,0.11168,8.8334
AXESAY,0,1,-0.17922,-0.0537,0.12552,10.9263
AXESEC,0,1,-0.19629,-0.06243,0.13386,10.543
AXESIG,0,1,-0.19571,-0.06325,0.13246,10.4692
AXESOM,0,1,-0.19672,-0.07558,0.12114,10.6501
AXEWUX,1,1,-0.32855,-0.2333,0.09525,4.8504
AXOGOL,1,1,-0.3329,-0.14585,0.18705,4.656
AXOKAZ,0,1,-0.19909,-0.10245,0.09664,10.4101
AXOYES,0,1,-0.1828,-0.10449,0.07831,11.4614
AYESAA,0,1,-0.14736,-0.09059,0.05677,9.7627
AYIJUN,0,1,-0.22679,-0.10765,0.11914,7.5915
AYIKAU,0,1,-0.18117,-0.07305,0.10812,14.6865
AYIKEY,0,1,-0.22331,-0.07724,0.14607,9.9479
AYIKIC,0,1,-0.2245,-0.09518,0.12932,11.1629
AYIKOI,0,1,-0.22132,-0.07446,0.14686,9.9026
AYIKUO,0,1,-0.22824,-0.10084,0.1274,11.357
AYINUS,1,1,-0.28147,-0.17713,0.10434,6.8866
AYOGUR,0,1,-0.17761,-0.07042,0.10719,2.2445
AYOLAC,0,1,-0.19246,-0.07565,0.11681,5.9485
AYUNOZ,1,1,-0.32593,-0.21946,0.10647,10.7135
AYUSIW,0,1,-0.16535,-0.04844,0.11691,5.8071
AYUWAU,0,1,-0.1887,-0.10598,0.08272,7.9806
AZAPUO,0,1,-0.20219,-0.13505,0.06714,12.3629
AZAQAV,0,1,-0.19768,-0.12917,0.06851,11.0027
AZIFAS,0,1,-0.21454,-0.12001,0.09453,10.5284
AZIFEW,0,1,-0.22182,-0.11819,0.10363,10.1807
AZIFIA,0,1,-0.21772,-0.11673,0.10099,9.9812
AZIFOG,0,1,-0.20798,-0.11379,0.09419,8.4739
AZIPOP,0,1,-0.17381,-0.06254,0.11127,0.0591
AZOFEB,0,1,-0.20094,-0.12195,0.07899,12.8132
BACYUC,0,1,-0.13811,-0.0982,0.03991,11.5533
BACZAJ,0,1,-0.13292,-0.09659,0.03633,10.2712
BACZEN,0,1,-0.12916,-0.09222,0.03694,9.2491
BAFMED,1,1,-0.34716,-0.14715,0.20001,0.0038
BAFMIH,1,1,-0.34716,-0.14715,0.20001,0.0129
BAHFIC,0,1,-0.17404,-0.11318,0.06086,7.848
BAHFOI,0,1,-0.17539,-0.11243,0.06296,7.9758
BAHFUO,0,1,-0.18691,-0.12632,0.06059,10.0282
BAHGAV,0,1,-0.16964,-0.11547,0.05417,8.2317
BAHGEZ,0,1,-0.17084,-0.11565,0.05519,9.4015
BAHGID,0,1,-0.1719,-0.11116,0.06074,8.1582
BAHGOJ,0,1,-0.17545,-0.11313,0.06232,8.1334
BAHGUP,0,1,-0.17423,-0.11042,0.06381,7.873
BAHZAN,1,1,-0.34397,-0.14788,0.19609,0.2181
BAKGOM,1,1,-0.30081,-0.19782,0.10299,12.0268
BAKSIR,0,1,-0.16843,-0.08053,0.0879,0.0108
BAKSUD,0,1,-0.16597,-0.08329,0.08268,0.0
BAKZEU,0,1,-0.17897,-0.06516,0.11381,1.9396
BAQZEB,0,1,-0.15014,-0.07075,0.07939,10.2774
BAQZIF,0,1,-0.14905,-0.07098,0.07807,11.2407
BARVEW,0,1,-0.21962,-0.11985,0.09977,0.0139
BARWIC,0,1,-0.17987,-0.07086,0.10901,0.9137
BAWJER,0,1,-0.16524,-0.04036,0.12488,5.7645
BAWJIV,0,1,-0.17559,-0.05222,0.12337,10.5361
BAWJOB,1,1,-0.25726,-0.18076,0.0765,4.6742
BAWJUH,1,1,-0.26623,-0.18814,0.07809,9.8519
BAWKAO,1,1,-0.27319,-0.1921,0.08109,11.534
BAWSID,1,1,-0.285,-0.18665,0.09835,7.6924
BAXRAW,0,1,-0.16693,-0.06556,0.10137,6.4687
BAYPEZ,0,1,-0.16555,-0.04831,0.11724,7.3073
BAYPID,1,1,-0.26992,-0.19705,0.07287,5.8288
BAYPUP,0,1,-0.16246,-0.04788,0.11458,6.703
BAZBAH,0,1,-0.17747,-0.11857,0.0589,10.174
BAZBEL,0,1,-0.17834,-0.1186,0.05974,10.3086
BAZBIP,0,1,-0.1774,-0.11865,0.05875,10.6096
BAZYEG,1,1,-0.30417,-0.22757,0.0766,10.1603
BEBYUE,0,1,-0.17069,-0.0992,0.07149,12.9922
BEBZAL,0,1,-0.16684,-0.09811,0.06873,12.3117
BECHID,0,1,-0.14458,-0.10411,0.04047,3.939
BECHOJ,0,1,-0.14316,-0.10185,0.04131,3.4449
BEDLII,0,1,-0.18047,-0.09194,0.08853,1.4148
BEDMUU,1,1,-0.26742,-0.17878,0.08864,1.8962
BEFYET,0,1,-0.17593,-0.057,0.11893,0.0042
BEFYIX,0,1,-0.18468,-0.05349,0.13119,0.0072
BEGLUU,0,1,-0.17516,-0.08609,0.08907,0.0228
BEHXUK,0,1,-0.18947,-0.07386,0.11561,0.591
BEJSEO,0,1,-0.16112,-0.12964,0.03148,7.8673
BEJSUH,0,1,-0.2008,-0.13253,0.06827,5.072
BEKBEB,0,1,-0.19755,-0.11677,0.08078,13.3338
BEKZID,1,1,-0.27414,-0.17654,0.0976,4.1861
BEKZUP,1,1,-0.29402,-0.20019,0.09383,7.026
BELBAY,1,1,-0.294,-0.19621,0.09779,4.5502
BELBEC,1,1,-0.29267,-0.19564,0.09703,5.6007
BELVUM,1,1,-0.27904,-0.20497,0.07407,7.1437
BELWEX,1,1,-0.26813,-0.1767,0.09143,2.1734
BELYUP,0,1,-0.20297,-0.11576,0.08721,8.8969
BENVOG,0,1,-0.18244,-0.10506,0.07738,0.0024
BEPGIP,0,1,-0.21211,-0.11307,0.09904,13.4362
BESGUC,0,1,-0.17562,-0.1052,0.07042,8.711
BESHAJ,0,1,-0.19179,-0.11055,0.08124,10.8453
BESHEN,0,1,-0.18956,-0.10521,0.08435,8.6532
BESHIR,0,1,-0.18383,-0.10961,0.07422,9.8261
BESHOX,0,1,-0.18312,-0.11301,0.07011,10.9161
BEVBUB,0,1,-0.18618,-0.09992,0.08626,10.5801
BEVCUC,0,1,-0.23695,-0.12356,0.11339,7.1236
BEVDEN,0,1,-0.2329,-0.12096,0.11194,8.5718
BEVDIR,0,1,-0.21984,-0.11246,0.10738,9.7015
BEVDOX,0,1,-0.22774,-0.11547,0.11227,8.2109
BEXKOG,0,1,-0.16413,-0.09236,0.07177,0.003
BEXKUM,0,1,-0.17173,-0.10171,0.07002,0.1491
BEZGAR,0,1,-0.17695,-0.05555,0.1214,0.0035
BIBHUQ,0,1,-0.16997,-0.07074,0.09923,7.0287
BIBYOD,0,1,-0.20432,-0.062,0.14232,9.2386
BIBYUJ,0,1,-0.20318,-0.06569,0.13749,10.8008
BICTAL,1,1,-0.28125,-0.18615,0.0951,8.2292
BIGLEJ,0,1,-0.15051,-0.03226,0.11825,0.0033
BIKNEO,0,1,-0.17554,-0.08207,0.09347,8.1372
BILJIQ,0,1,-0.18527,-0.1036,0.08167,10.3953
BILKEN,0,1,-0.17133,-0.10934,0.06199,13.3828
BIMDAF,0,1,-0.17218,-0.08516,0.08702,0.0003
BINCEH,1,1,-0.26414,-0.17877,0.08537,7.7184
BIRMOE,0,1,-0.19305,-0.08095,0.1121,3.2448
BIYHEY,0,1,-0.17286,-0.04323,0.12963,1.7012
BIYQIK,0,1,-0.20546,-0.11345,0.09201,10.2493
BOCVEX,0,1,-0.17038,-0.07435,0.09603,3.0693
BODPAM,0,1,-0.16001,-0.04878,0.11123,4.9198
BODPEQ,0,1,-0.17586,-0.05445,0.12141,6.0974
BODPIU,0,1,-0.18858,-0.06035,0.12823,7.2237
BOFDOR,0,1,-0.15883,-0.06149,0.09734,8.9263
BOFYIF,0,1,-0.19056,-0.10823,0.08233,6.9295
BOFYOL,0,1,-0.18711,-0.10339,0.08372,7.8006
BOHHEO,0,1,-0.18393,-0.0754,0.10853,4.1757
BOHHOY,0,1,-0.1748,-0.07164,0.10316,3.6396
BOHKEQ,0,1,-0.20102,-0.0295,0.17152,8.1034
BOHKIU,0,1,-0.2041,-0.03056,0.17354,8.4939
BOKTAX,0,1,-0.19225,-0.1442,0.04805,7.4084
BOKYAC,0,1,-0.22333,-0.09709,0.12624,8.9067
BOKYIK,0,1,-0.18529,-0.06197,0.12332,10.6861
BOLSAY,0,1,-0.17861,-0.08698,0.09163,0.391
BONSON,0,1,-0.17479,-0.0499,0.12489,0.0016
BONSUT,0,1,-0.1633,-0.03677,0.12653,0.0239
BONTAA,0,1,-0.18323,-0.07553,0.1077,0.0472
BONTEE,0,1,-0.18339,-0.07806,0.10533,0.9699
BONTII,0,1,-0.16607,-0.07321,0.09286,3.5709
BORDAP,1,1,-0.30093,-0.19764,0.10329,12.0792
BORDEU,0,1,-0.16928,-0.09275,0.07653,4.5523
BORFUM,0,1,-0.18749,-0.10994,0.07755,12.8655
BOSXOX,1,1,-0.32174,-0.2146,0.10714,10.0258
BOSYUF,1,1,-0.27427,-0.17364,0.10063,3.0969
BOTXUF,0,1,-0.18967,-0.09131,0.09836,13.2191
BOTZUI,0,1,-0.21612,-0.07682,0.1393,9.5211
BOVCEX,0,1,-0.21193,-0.0477,0.16423,9.6683
BOVCOG,0,1,-0.17045,-0.07833,0.09212,1.4817
BOVCUM,0,1,-0.17312,-0.06688,0.10624,0.9628
BOVCUN,0,1,-0.21061,-0.04212,0.16849,10.812
BOVFUO,0,1,-0.15846,-0.06602,0.09244,7.3795
BOYXUK,0,1,-0.2099,-0.09676,0.11314,12.65
BOYZOF,0,1,-0.18511,-0.09596,0.08915,0.0018
BOZVIX,0,1,-0.19488,-0.08411,0.11077,0.7793
BOZVUJ,0,1,-0.17865,-0.06588,0.11277,4.8377
BPYCPT,0,1,-0.1979,-0.11634,0.08156,11.8815
BUBFUB,0,1,-0.21427,-0.11948,0.09479,6.6092
BUBKIT,1,1,-0.30945,-0.19339,0.11606,3.3875
BUBKOZ,1,1,-0.30946,-0.19413,0.11533,2.984
BUCGOX,0,1,-0.20567,-0.12098,0.08469,8.7378
BUDCAF,0,1,-0.21643,-0.10817,0.10826,10.0853
BUFMUM,0,1,-0.17641,-0.06225,0.11416,12.3102
BUFXEH,0,1,-0.1994,-0.04295,0.15645,8.821
BUFZIN,0,1,-0.16886,-0.10972,0.05914,4.8707
BUGDIS,0,1,-0.19669,-0.1108,0.08589,5.2642
BUJJEW,0,1,-0.18403,-0.13434,0.04969,0.3672
BUJLOJ,0,1,-0.2087,-0.13188,0.07682,10.8932
BUJLUP,0,1,-0.20708,-0.13093,0.07615,10.9918
BUJMAW,0,1,-0.21524,-0.13218,0.08306,11.4539
BUJMIE,0,1,-0.20905,-0.13181,0.07724,10.8697
BUJNAX,0,1,-0.2088,-0.13105,0.07775,10.7346
BUJNEB,0,1,-0.20835,-0.13106,0.07729,10.78
BUJNIF,0,1,-0.20853,-0.13103,0.0775,10.7661
BULJEY,0,1,-0.17549,-0.12197,0.05352,9.8894
BULJIC,0,1,-0.1765,-0.12195,0.05455,9.5601
BULJUO,0,1,-0.17652,-0.12196,0.05456,9.5806
BUNJUR,1,1,-0.28878,-0.19922,0.08956,13.0805
BUSZAS,0,1,-0.18272,-0.06212,0.1206,6.486
BUSZEW,0,1,-0.18595,-0.06451,0.12144,7.2676
BUXVOG,0,1,-0.17392,-0.09547,0.07845,3.104
BUZGOU,0,1,-0.14419,-0.03579,0.1084,1.6061
BUZHAH,0,1,-0.19628,-0.05662,0.13966,1.7233
BUZHEL,0,1,-0.18788,-0.0609,0.12698,1.9823
BUZTAR,0,1,-0.18127,-0.08201,0.09926,8.0821
CACGIY,1,1,-0.34405,-0.14758,0.19647,0.665
CADYIS,0,1,-0.20394,-0.10563,0.09831,10.2024
CAHSIN,0,1,-0.15815,-0.04682,0.11133,5.2776
CALTER,0,1,-0.1588,-0.05559,0.10321,4.6884
CAMHEG,1,1,-0.29008,-0.18193,0.10815,5.5801
CAPLEN,1,1,-0.27266,-0.17178,0.10088,2.8715
CAPZAV,1,1,-0.27729,-0.17769,0.0996,3.6822
CAPZID,1,1,-0.27274,-0.17168,0.10106,2.8741
CAQDEF,1,1,-0.27478,-0.19504,0.07974,2.342
CAQJOU,0,1,-0.16571,-0.0402,0.12551,0.0117
CAQRET,1,1,-0.2575,-0.18909,0.06841,10.4508
CAQSAR,0,1,-0.20623,-0.10854,0.09769,0.0167
CAQSEV,0,1,-0.20858,-0.11086,0.09772,0.0067
CARBUU,1,1,-0.27944,-0.169,0.11044,6.1434
CARCAB,0,1,-0.19003,-0.09012,0.09991,10.5398
CARCEF,0,1,-0.18421,-0.09118,0.09303,10.8613
CARCIJ,0,1,-0.20364,-0.10323,0.10041,11.3535
CARDAC,1,1,-0.30648,-0.19396,0.11252,7.4744
CASNOC,0,1,-0.17385,-0.07961,0.09424,1.6167
CATKOA,0,1,-0.18302,-0.09102,0.092,11.0796
CATLOB,0,1,-0.18153,-0.09148,0.09005,11.5273
CATSIC,1,1,-0.31536,-0.204,0.11136,4.625
CAVBOR,0,1,-0.20015,-0.09568,0.10447,0.0114
CEBMAZ,0,1,-0.18185,-0.09525,0.0866,2.2488
CEBYAK,1,1,-0.34293,-0.22565,0.11728,9.2606
CEDQEI,0,1,-0.19536,-0.09775,0.09761,9.5205
CEFYUK,0,1,-0.17499,-0.10585,0.06914,9.0449
CEFZAR,0,1,-0.17668,-0.10694,0.06974,8.7829
CEFZOF,0,1,-0.20706,-0.08917,0.11789,6.7847
CEFZUL,0,1,-0.19913,-0.09614,0.10299,7.4724
CEGBAU,1,1,-0.29487,-0.19334,0.10153,4.485
CEGBOI,0,1,-0.18905,-0.07214,0.11691,4.6629
CEGBUO,0,1,-0.1727,-0.09194,0.08076,7.723
CEHGIG,0,1,-0.18362,-0.06273,0.12089,4.6257
CEHGOM,0,1,-0.19138,-0.07483,0.11655,5.7186
CEJJAE,1,1,-0.25911,-0.16929,0.08982,10.5126
CEKBUR,0,1,-0.18414,-0.08198,0.10216,1.6525
CEKCAY,0,1,-0.17868,-0.07669,0.10199,1.7647
CEKCEC,0,1,-0.17805,-0.07797,0.10008,2.13
CEKCIG,0,1,-0.17506,-0.07498,0.10008,2.3097
CEKCOM,0,1,-0.17902,-0.07741,0.10161,2.0993
CEMBAA,0,1,-0.20762,-0.13314,0.07448,6.1583
CEMBEE,0,1,-0.20291,-0.1186,0.08431,5.1394
CEMBUU,0,1,-0.21566,-0.11946,0.0962,5.636
CEMTIZ,0,1,-0.2023,-0.09334,0.10896,10.2715
CEPCAD,0,1,-0.2177,-0.09205,0.12565,9.6058
CEPDEI,0,1,-0.21032,-0.08132,0.129,7.4221
CEPKAM,0,1,-0.19524,-0.10295,0.09229,0.0256
CEQFEM,0,1,-0.15229,-0.07262,0.07967,0.0092
CEQFIQ,0,1,-0.17738,-0.08423,0.09315,0.0008
CEQFOW,0,1,-0.17722,-0.07703,0.10019,0.0002
CEQGAJ,0,1,-0.17803,-0.07806,0.09997,0.0053
CEQGIR,0,1,-0.17389,-0.08351,0.09038,0.0334
CEQZOP,0,1,-0.1966,-0.07161,0.12499,7.6615
CEQZUV,0,1,-0.18275,-0.05667,0.12608,4.4896
CERBAE,0,1,-0.1892,-0.0721,0.1171,3.1664
CETYAC,0,1,-0.20975,-0.10856,0.10119,10.0139
CEVFEP,1,1,-0.28039,-0.18744,0.09295,5.9186
CEVNUO,0,1,-0.21572,-0.15955,0.05617,0.0102
CEVPAW,0,1,-0.23983,-0.14994,0.08989,1.4965
CEVPEA,0,1,-0.19922,-0.14811,0.05111,0.0778
CEXYOV,1,1,-0.29991,-0.2035,0.09641,6.5555
CEYWEK,1,1,-0.27498,-0.16726,0.10772,8.2091
CEZVEJ,0,1,-0.20184,-0.03561,0.16623,10.9977
CIBXOD,1,1,-0.28566,-0.16968,0.11598,3.7065
CICLEI,0,1,-0.16263,-0.06309,0.09954,1.9783
CICLIM,0,1,-0.16604,-0.06244,0.1036,1.7033
CIDDAX,1,1,-0.30028,-0.20672,0.09356,10.0857
CIDDEB,1,1,-0.30356,-0.21479,0.08877,8.4344
CIFZEZ,0,1,-0.15526,-0.04162,0.11364,0.8008
CIGKOV,1,1,-0.2955,-0.18956,0.10594,14.2181
CIGNUE,0,1,-0.17237,-0.05322,0.11915,0.0056
CIGVAR,0,1,-0.14593,-0.06297,0.08296,5.2217
CIGVEV,0,1,-0.16298,-0.08281,0.08017,6.3242
CIGVIZ,0,1,-0.16083,-0.08065,0.08018,5.9086
CIGVOF,0,1,-0.15228,-0.06831,0.08397,3.6936
CIGYAT,0,1,-0.18584,-0.12359,0.06225,11.0328
CIKQOE,0,1,-0.16646,-0.0748,0.09166,1.9109
CILTOJ,1,1,-0.24164,-0.13806,0.10358,4.5588
CINRIC,0,1,-0.18979,-0.07856,0.11123,5.7001
CIQJAQ,0,1,-0.20123,-0.0808,0.12043,9.8418
CIQVAB,1,1,-0.29062,-0.18418,0.10644,5.7964
CIRRIG,0,1,-0.17618,-0.04785,0.12833,0.0158
CIRRUS,0,1,-0.17168,-0.04543,0.12625,0.0007
CITDEQ,0,1,-0.1801,-0.0731,0.107,6.5109
CITTEG,0,1,-0.20767,-0.09323,0.11444,0.3324
CIXGIA,0,1,-0.1837,-0.10686,0.07684,12.6829
CIXSOU,0,1,-0.16987,-0.0731,0.09677,3.4736
CIXSUA,0,1,-0.17828,-0.08546,0.09282,2.3614
CIYKOM,1,1,-0.27926,-0.19862,0.08064,8.9756
CIYKUS,1,1,-0.27935,-0.19869,0.08066,8.9593
CIYLAZ,1,1,-0.27933,-0.19862,0.08071,8.9727
CODQAN,0,1,-0.1797,-0.11423,0.06547,11.3735
CODRET,0,1,-0.21989,-0.14459,0.0753,8.4071
COFWOL,1,1,-0.30266,-0.21947,0.08319,9.0882
COFWUR,1,1,-0.30116,-0.23214,0.06902,11.5997
COFXAY,1,1,-0.29867,-0.21987,0.0788,9.8072
COFXEC,1,1,-0.31643,-0.22148,0.09495,5.8437
COFXOM,1,1,-0.31295,-0.22524,0.08771,9.7166
COGCIL,0,1,-0.17263,-0.06442,0.10821,6.4879
COGDOT,0,1,-0.174,-0.05875,0.11525,0.0412
COGMAP,0,1,-0.18328,-0.0688,0.11448,6.349
COHJIT,0,1,-0.194,-0.09846,0.09554,11.999
COJWUV,0,1,-0.19095,-0.10636,0.08459,9.2977
COKGAN,0,1,-0.18498,-0.08479,0.10019,3.3534
COKGER,0,1,-0.20001,-0.08028,0.11973,4.4372
COKGIV,0,1,-0.20142,-0.09604,0.10538,3.1511
COKGOB,0,1,-0.18267,-0.07436,0.10831,4.5289
COLPEY,0,1,-0.1559,-0.06934,0.08656,3.5672
COLQIG,0,1,-0.17629,-0.07538,0.10091,8.3706
COMHUJ,0,1,-0.19476,-0.12911,0.06565,13.1598
COMNAV,1,1,-0.26295,-0.18822,0.07473,1.8711
COMNOI,1,1,-0.26424,-0.1894,0.07484,6.1412
CORTIP,0,1,-0.18677,-0.11702,0.06975,13.7962
